FRH,RRH,RDF,ChassisAngle,ChassisHeave
None,None,None,-1.8131,-1.0
None,None,None,-1.8131,-0.7143
None,None,None,-1.8131,-0.5
6.442514877,4.089697725,101.3770801,-1.8131,-0.1429
None,None,None,-1.8131,0.1429
None,None,None,-1.8131,0.5
None,None,None,-1.8131,0.7143
None,None,None,-1.8131,1.0
None,None,None,-1.4387,-1.0
None,None,None,-1.4387,-0.7143
None,None,None,-1.4387,-0.5
None,None,None,-1.4387,-0.1429
None,None,None,-1.4387,0.1429
None,None,None,-1.4387,0.5
None,None,None,-1.4387,0.7143
None,None,None,-1.4387,1.0
None,None,None,-1.0643,-1.0
None,None,None,-1.0643,-0.7143
None,None,None,-1.0643,-0.5
None,None,None,-1.0643,-0.1429
None,None,None,-1.0643,0.1429
None,None,None,-1.0643,0.5
None,None,None,-1.0643,0.7143
None,None,None,-1.0643,1.0
None,None,None,-0.6899,-1.0
None,None,None,-0.6899,-0.7143
None,None,None,-0.6899,-0.5
None,None,None,-0.6899,-0.1429
None,None,None,-0.6899,0.1429
None,None,None,-0.6899,0.5
None,None,None,-0.6899,0.7143
None,None,None,-0.6899,1.0
None,None,None,-0.3156,-1.0
None,None,None,-0.3156,-0.7143
None,None,None,-0.3156,-0.5
None,None,None,-0.3156,-0.1429
None,None,None,-0.3156,0.1429
None,None,None,-0.3156,0.5
None,None,None,-0.3156,0.7143
None,None,None,-0.3156,1.0
None,None,None,0.0588,-1.0
None,None,None,0.0588,-0.7143
None,None,None,0.0588,-0.5
4.825570796,5.593619047,125.4008859,0.0588,-0.1429
None,None,None,0.0588,0.1429
None,None,None,0.0588,0.5
None,None,None,0.0588,0.7143
None,None,None,0.0588,1.0
None,None,None,0.4332,-1.0
None,None,None,0.4332,-0.7143
None,None,None,0.4332,-0.5
None,None,None,0.4332,-0.1429
None,None,None,0.4332,0.1429
None,None,None,0.4332,0.5
None,None,None,0.4332,0.7143
None,None,None,0.4332,1.0
None,None,None,0.8076,-1.0
None,None,None,0.8076,-0.7143
None,None,None,0.8076,-0.5
None,None,None,0.8076,-0.1429
None,None,None,0.8076,0.1429
None,None,None,0.8076,0.5
None,None,None,0.8076,0.7143
None,None,None,0.8076,1.0
