Workspace ID,User,Type,ID,Name,Project ID,Project Name,Software,Rescale On-Demand License,License Settings,Month,Submit Date,Start Date,Stop Date,Description,Billing Priority,Cores,Unit Hours,Unit Charge/Hour,Charge,SKU,Job Type,Walltime
04-040028043,hxb210012@utdallas.edu,Compute,UtkiZb,gputest,,,Simcenter STAR-CCM+,False,"LM_PROJECT=bP+ffajdHe5WRH/RLQhUAg,CDLMD_LICENSE_FILE=1999@flex.cd-adapco.com",2023-06,"Jun 12, 2023 16:09:26","Jun 12, 2023 16:10:18","Jun 12, 2023 16:20:59",Compute: Grossular-8,ODE,96,21.60000,$0.1186,$2.57,HW-04US01-GRLR8-O21-L00,Basic,4
04-040028043,hxb210012@utdallas.edu,Compute,OHTwRc,2024DOETest2,,,Simcenter STAR-CCM+,False,"LM_PROJECT=bP+ffajdHe5WRH/RLQhUAg,CDLMD_LICENSE_FILE=1999@flex.cd-adapco.com",2023-06,"Jun 13, 2023 23:42:19","Jun 13, 2023 23:43:19","Jun 13, 2023 23:54:39",Compute: Elm,ODP,96,24.85334,$0.0341,$0.85,HW-04US01-ELM1-I21-L00,DOE,2
04-040028043,hxb210012@utdallas.edu,Compute,OHTwRc,2024DOETest2,,,Simcenter STAR-CCM+,False,"LM_PROJECT=bP+ffajdHe5WRH/RLQhUAg,CDLMD_LICENSE_FILE=1999@flex.cd-adapco.com",2023-06,"Jun 13, 2023 23:42:19","Jun 13, 2023 23:43:19","Jun 13, 2023 23:54:39",Compute: Catseye Max,ODP,8,3.15556,$0.0768,$0.25,HW-04US01-CEM-I21-L00,DOE,2
04-040028043,hxb210012@utdallas.edu,Compute,eGUbUc,2024DOETest2 (Cloned),,,Simcenter STAR-CCM+,False,"LM_PROJECT=bP+ffajdHe5WRH/RLQhUAg,CDLMD_LICENSE_FILE=1999@flex.cd-adapco.com",2023-06,"Jun 14, 2023 00:02:54","Jun 14, 2023 00:03:31","Jun 14, 2023 00:14:11",Compute: Elm,ODP,96,16.56000,$0.0341,$0.57,HW-04US01-ELM1-I21-L00,DOE,2
04-040028043,hxb210012@utdallas.edu,Compute,TazoRc,2024AeroMapV1,,,Simcenter STAR-CCM+,False,"LM_PROJECT=bP+ffajdHe5WRH/RLQhUAg,CDLMD_LICENSE_FILE=1999@flex.cd-adapco.com",2023-06,"Jun 14, 2023 00:24:14","Jun 14, 2023 00:24:58","Jun 14, 2023 01:24:34",Compute: Elm,ODP,1152,1115.70667,$0.0341,$38.10,HW-04US01-ELM1-I21-L00,DOE,24
04-040028043,hxb210012@utdallas.edu,Compute,LCWAQb,2024AeroMapV1_Batch1(failed),,,Simcenter STAR-CCM+,False,"LM_PROJECT=bP+ffajdHe5WRH/RLQhUAg,CDLMD_LICENSE_FILE=1999@flex.cd-adapco.com",2023-06,"Jun 14, 2023 11:03:58","Jun 14, 2023 11:04:49","Jun 14, 2023 11:52:36",Compute: Elm,ODP,96,78.48000,$0.0341,$2.68,HW-04US01-ELM1-I21-L00,Basic,48
04-040028043,hxb210012@utdallas.edu,Compute,sCuzYb,2024AeroMapV1_Batch1,,,Simcenter STAR-CCM+,False,"LM_PROJECT=bP+ffajdHe5WRH/RLQhUAg,CDLMD_LICENSE_FILE=1999@flex.cd-adapco.com",2023-06,"Jun 14, 2023 12:01:14","Jun 14, 2023 12:08:38","Jun 14, 2023 12:16:21",Compute: Catseye Max,ODP,108,18.36000,$0.0768,$1.44,HW-04US01-CEM-I21-L00,Basic,48
04-040028043,hxb210012@utdallas.edu,Compute,uYBsQb,2024AeroMapV1_Batch1 (Cloned),,,Simcenter STAR-CCM+,False,"LM_PROJECT=bP+ffajdHe5WRH/RLQhUAg,CDLMD_LICENSE_FILE=1999@flex.cd-adapco.com",2023-06,"Jun 14, 2023 12:19:06","Jun 14, 2023 12:19:24","Jun 14, 2023 16:03:14",Compute: Catseye Max,ODP,108,397.83000,$0.0768,$30.56,HW-04US01-CEM-I21-L00,Basic,48
04-040028043,hxb210012@utdallas.edu,Compute,BtTwRc,2024AeroMapV1_Batch2,,,Simcenter STAR-CCM+,False,"LM_PROJECT=bP+ffajdHe5WRH/RLQhUAg,CDLMD_LICENSE_FILE=1999@flex.cd-adapco.com",2023-06,"Jun 14, 2023 13:05:27","Jun 14, 2023 13:05:52","Jun 14, 2023 13:13:14",Compute: Catseye Max,ODP,108,17.91000,$0.0768,$1.38,HW-04US01-CEM-I21-L00,Basic,48
04-040028043,hxb210012@utdallas.edu,Compute,BbLXTc,2024AeroMapV1_Batch2,,,Simcenter STAR-CCM+,False,"LM_PROJECT=bP+ffajdHe5WRH/RLQhUAg,CDLMD_LICENSE_FILE=1999@flex.cd-adapco.com",2023-06,"Jun 14, 2023 13:18:30","Jun 14, 2023 13:18:53","Jun 14, 2023 18:20:56",Compute: Catseye Max,ODP,108,543.54000,$0.0768,$41.76,HW-04US01-CEM-I21-L00,Basic,48
04-040028043,hxb210012@utdallas.edu,Compute,CowfSc,2024AeroMapV1_Batch3,,,Simcenter STAR-CCM+,False,"LM_PROJECT=bP+ffajdHe5WRH/RLQhUAg,CDLMD_LICENSE_FILE=1999@flex.cd-adapco.com",2023-06,"Jun 15, 2023 12:12:30","Jun 15, 2023 12:19:23","Jun 15, 2023 12:27:53",Compute: Catseye Max,ODP,108,20.61000,$0.0768,$1.59,HW-04US01-CEM-I21-L00,Basic,48
04-040028043,hxb210012@utdallas.edu,Compute,bxNxGc,2024AeroMapV1_Batch3,,,Simcenter STAR-CCM+,False,"LM_PROJECT=bP+ffajdHe5WRH/RLQhUAg,CDLMD_LICENSE_FILE=1999@flex.cd-adapco.com",2023-06,"Jun 15, 2023 12:29:39","Jun 15, 2023 12:32:29","Jun 15, 2023 12:45:11",Compute: Catseye Max,ODP,108,24.03000,$0.0768,$1.86,HW-04US01-CEM-I21-L00,Basic,48
04-040028043,hxb210012@utdallas.edu,Compute,hxxLUc,2024AeroMapV1_Batch4,,,Simcenter STAR-CCM+,False,"LM_PROJECT=bP+ffajdHe5WRH/RLQhUAg,CDLMD_LICENSE_FILE=1999@flex.cd-adapco.com",2023-06,"Jun 15, 2023 12:53:22","Jun 15, 2023 12:53:54","Jun 15, 2023 19:42:07",Compute: Catseye Max,ODP,108,733.68000,$0.0768,$56.36,HW-04US01-CEM-I21-L00,Basic,48
04-040028043,hxb210012@utdallas.edu,Compute,wJRTUc,2024AeroMapV1_Batch3,,,Simcenter STAR-CCM+,False,"LM_PROJECT=bP+ffajdHe5WRH/RLQhUAg,CDLMD_LICENSE_FILE=1999@flex.cd-adapco.com",2023-06,"Jun 15, 2023 13:06:19","Jun 15, 2023 13:07:05","Jun 15, 2023 15:18:01",Compute: Catseye Max,ODP,108,234.69000,$0.0768,$18.05,HW-04US01-CEM-I21-L00,Basic,48
04-040028043,hxb210012@utdallas.edu,Compute,FmuUJc,2024AeroMapV1_Batch5,,,Simcenter STAR-CCM+,False,"LM_PROJECT=bP+ffajdHe5WRH/RLQhUAg,CDLMD_LICENSE_FILE=1999@flex.cd-adapco.com",2023-06,"Jun 15, 2023 13:57:44","Jun 15, 2023 13:58:03","Jun 15, 2023 20:29:17",Compute: Catseye Max,ODP,108,699.24000,$0.0768,$53.72,HW-04US01-CEM-I21-L00,Basic,48
04-040028043,hxb210012@utdallas.edu,Compute,PzNxGc,2024AeroMapV1_Batch6,,,Simcenter STAR-CCM+,False,"LM_PROJECT=bP+ffajdHe5WRH/RLQhUAg,CDLMD_LICENSE_FILE=1999@flex.cd-adapco.com",2023-06,"Jun 15, 2023 15:03:05","Jun 15, 2023 15:04:06","Jun 15, 2023 15:39:06",Compute: Catseye Max,ODP,108,66.09000,$0.0768,$5.10,HW-04US01-CEM-I21-L00,Basic,48
04-040028043,hxb210012@utdallas.edu,Compute,GmuUJc,2024AeroMapV1_Batch7,,,Simcenter STAR-CCM+,False,"LM_PROJECT=bP+ffajdHe5WRH/RLQhUAg,CDLMD_LICENSE_FILE=1999@flex.cd-adapco.com",2023-06,"Jun 15, 2023 15:04:39","Jun 15, 2023 15:06:43","Jun 15, 2023 17:35:28",Compute: Catseye Max,ODP,108,266.58000,$0.0768,$20.49,HW-04US01-CEM-I21-L00,Basic,48
04-040028043,hxb210012@utdallas.edu,Compute,JmuUJc,2024AeroMapV1_Batch8,,,Simcenter STAR-CCM+,False,"LM_PROJECT=bP+ffajdHe5WRH/RLQhUAg,CDLMD_LICENSE_FILE=1999@flex.cd-adapco.com",2023-06,"Jun 15, 2023 15:06:01","Jun 15, 2023 15:06:42","Jun 15, 2023 16:57:27",Compute: Catseye Max,ODP,108,199.47000,$0.0768,$15.33,HW-04US01-CEM-I21-L00,Basic,48
