Element Count,Downforce,Front Axle Moment,Rear Axle Downforce,Rear Axle Moment,Front Axle Downforce,Frontal Area,Cl,ClA,Drag,Cd,CdA,Center of Pressure,Sidepod DF,Rear Wing DF,Front Wing DF,Aero Efficiency,FA-RA Difference,RW 3rd Element AOA,RW 3rd Element X,RW 3rd Element Z,RW 2nd Element AOA,RW 2nd Element X,RW 2nd Element Z,RW 1st Element AOA,RW 1st Element X,RW 1st Element Z,RW Biplane1 Element AOA,RW Biplane1 Element X,RW Biplane1 Element Z,RW Biplane2 Element AOA,RW Biplane2 Element X,RW Biplane2 Element Z,FW 3rd Element AOA,FW 3rd Element X,FW 3rd Element Z,FW 1st Element AOA,FW 1st Element Z,FW 2nd Element AOA,FW 2nd Element X,FW 2nd Element Z,Bullhorn AOA,Bullhorn X,Bullhorn Z Angle,FW Biplane Element AOA,FW Biplane Element Z,Generation,Sim_Num
21344316,112.188443688752,-2089.14029989021,33.9719357355378,4810.00729994337,78.2165079529273,0.523089914039342,5.23468620903035,2.73821155910461,52.7311346911612,2.46042225454294,1.28702206562935,6.10125550695674,0.210963918970301,50.2786214232471,60.7932637896065,2.12755603204491,44.2445722173895,12.5918,72.2549,-28.4278,-1.6368,110.7997,11.6473,24.1786,46.891,-5.2655,11.0688,-27.9046,-18.0798,8.2901,-100.5815,-32.2671,10.4344,1.6734,12.3252,-4.2495,-10.5361,-6.8297,6.9426,-12.9094,-1.9433,-3.5401,4.523,-3.5479,11.7814,1,0
20111452,119.495792278796,-2441.08899433773,39.6950451076589,4907.43177467908,79.8007471708314,0.522892229749935,5.57775317339581,2.91656379383171,50.4769990574097,2.3561351936065,1.2320047849772,3.21088183458131,1.95888499184217,57.8552568828748,59.5354295690965,2.3673315472437,40.1057020631725,-0.4495,99.0354,-23.833,-6.0391,8.9225,-3.5564,13.9473,139.428,-35.8291,1.5681,-200.4269,-23.9788,-3.4894,-219.8601,-1.729,5.5186,-1.8106,7.8477,-3.0511,-10.3645,2.8064,-4.3128,-1.7369,-13.2203,-17.1031,1.9281,14.1634,4.9365,1,1
22439624,101.182269256098,-1102.12915461824,17.9219465609472,5120.18204902592,83.260322694892,0.553335020131951,4.46308483030972,2.46958113443003,48.3347597659633,2.13201517097951,1.17971865755557,16.7001849460026,1.60479869709626,35.9624895963344,62.3864747200033,2.0933644802627,65.3383761339449,-3.4523,22.6367,-40.9476,22.5805,107.2792,19.0165,25.5482,96.4315,22.1068,2.36,-223.224,-36.7551,9.148,-137.995,-24.0981,11.778,3.1569,13.1384,-4.2977,-10.3348,1.0179,-0.3984,-6.4018,2.1938,22.4672,10.7841,1.1298,0.7361,1,2
22728111,107.356798450696,-1498.07781975249,24.3605484141686,5103.94262017622,82.9962500362522,0.52638795167888,4.97785785461863,2.62028439984132,45.4625208809262,2.10797983848051,1.10961518935813,12.9256141726856,1.30933123731778,45.879796549702,60.8695699843643,2.36143522995306,58.6357016220836,-0.339,80.5232,-32.7893,18.4142,142.5933,-18.6628,9.088,41.2132,-10.9033,10.7016,-187.666,-29.2295,-5.6957,-17.6964,-20.6645,11.8451,16.6081,10.3142,-3.1309,-10.4231,-2.2415,-8.2222,-12.7554,-13.4786,-1.0464,-12.147,7.2322,4.7315,1,3
21642618,103.587467933282,-1773.44082227967,28.8382822582238,4596.78063072006,74.7491856747932,0.534998204537857,4.72578282356983,2.5282853256457,43.6424920353783,1.99102211255333,1.0651932554112,7.15979591114093,1.48106487192846,46.856046809381,56.0786295356944,2.37354612677274,45.9109034165694,13.9595,20.7042,-49.0262,11.1347,68.6508,-2.7093,17.3353,-11.8915,-4.9666,13.8453,-249.3116,9.0006,0.153,-105.1395,-29.6689,9.453,-13.7203,12.298,-3.1823,-10.3974,2.867,6.7992,-10.6087,-14.2693,10.4786,-3.712,8.9496,3.4227,1,5
20730562,101.911948041444,-2125.08525923682,34.5564440373515,4142.09831695343,67.3555040038315,0.54590622123033,4.55644294630819,2.4873905510707,53.662404068947,2.39922489169239,1.30975179450554,4.20022671004725,1.25709331191802,45.6387755420297,54.017901367109,1.89913124112935,32.7990599664801,12.4214,128.7511,-37.0601,-8.6514,140.9946,-34.8444,29.1,24.7221,3.6603,6.038,-183.1067,-30.9272,-8.4246,-173.0028,-34.2332,13.7666,5.9416,15.107,-2.9849,-10.2528,-5.2622,9.8345,-11.3517,-12.131,54.4055,-13.6398,0.615,3.9832,1,6
19681717,78.8141420831565,-1766.3993983801,28.7237802306599,3080.3600476685,50.0903618522948,0.524181891716253,3.66978833216849,1.92363659015431,46.2190013960758,2.15207509166108,1.12807879266233,3.1083361899999,-0.78261787874469,37.7870284749002,44.7509852667251,1.7052324737126,21.3665816216349,-1.3192,91.8179,-26.6126,12.9243,29.3238,-15.2176,21.608,12.9813,9.0413,0.0006,-229.0867,-0.5338,-4.878,-78.812,-37.7064,6.0692,3.0264,10.3591,-4.4647,-10.224,-1.7516,-9.781,-7.0637,8.3244,16.3698,-0.3507,-3.0464,5.8288,1,7
20149477,124.172770818111,-3064.49140832001,49.8323186772215,4571.6451275534,74.3404521405719,0.52196277903214,5.80638352344832,3.03071608002551,55.7399062552824,2.60642708660585,1.36045792546944,-1.64624451845534,2.45682907369303,62.6538981322684,57.8049566592408,2.22771761131807,24.5081334633504,11.4819,25.8248,6.3197,-2.1872,3.3515,-19.0344,16.2797,116.2633,-40.0334,0.6568,-260.5786,-25.6135,1.4641,-56.7715,-11.408,8.2521,17.5641,13.6656,-2.8677,-10.4877,-5.3374,7.8651,-9.7896,-0.1182,50.612,-1.1491,1.6288,13.1025,1,11
20857217,130.754039597328,-2414.6357648071,39.2648837567629,5626.22289046716,91.4891558402307,0.524161887545392,6.08847542261466,3.19134676979143,53.9693626153107,2.51304769527145,1.31724382344508,5.37846768324625,0.669456579046152,61.9432450808871,68.2580691302893,2.4227456701561,52.2242720834678,-0.6404,131.3507,24.6999,11.3177,145.9921,-11.2901,9.3912,105.5222,-23.2476,12.0937,-216.0954,9.4374,-7.7361,-271.4754,3.3099,12.4524,14.9784,11.3937,-4.6518,-10.4881,-4.2173,-0.8121,0.0086,-5.5364,68.7542,-4.7375,2.9896,2.5543,1,14
20327169,116.841710760833,-2107.52267102873,34.2708552150085,5077.78253377879,82.5708555455248,0.529287733709873,5.38796721498795,2.85178495652407,49.3806502953743,2.27710911723017,1.20524592406884,6.08955056643119,1.66111673580907,54.6663699362018,60.9873662092809,2.36614362228797,48.3000003305163,-6.4193,36.6792,-37.8656,13.3968,70.4793,-14.9397,6.9884,62.4523,-41.7521,0.8782,17.965,-32.4925,7.1338,-124.2821,-7.3214,6.0585,4.003,11.9302,-3.3481,-10.2781,3.6155,9.6808,-4.6683,-6.7523,-9.3587,-14.004,8.1486,6.4347,1,15
