,Element Count,Downforce,Front Axle Moment,Rear Axle Downforce,Rear Axle Moment,Front Axle Downforce,Frontal Area,Cl,ClA,Drag,Cd,CdA,Center of Pressure,Unnamed: 13,RW 1st Element AOA,RW 1st Element X,RW 1st Element Z,FW 1st Element AOA,FW 1st Element Z,FW 4th Element AOA,FW 4th Element X,FW 4th Element Z,Bullhorn AOA,Bullhorn X
0,19251493.0,104.60168029015271,-3648.2591779102863,60.80431963183811,2784.3323420727925,46.40553903454654,0.5400961098244089,4.7270095765896825,2.553039483418814,56.26587768541948,2.5426870956224987,1.3732954088464364,-8.341967890525087,,7.0182,-22.2927,4.6217,0.7282,6.7709,5.5167,37.9603,0.6069,5.2304,-14.3049
0,20061024.0,92.66119933417204,-3874.692896345565,64.57821493909276,1823.606054637623,30.39343424396038,0.5429188483642735,4.165641348687636,2.2616052037280903,55.41285998054269,2.4911192866339307,1.3524756142373242,-9.371677490788104,,6.803,-23.4966,2.8556,1.1232,0.2687,8.8306,32.2113,-3.5305,6.1503,5.7545
0,19443982.0,100.64015661855252,-3828.740643394935,63.81234405658225,2360.232767343034,39.33721278905057,0.5471352774880713,4.489474212710049,2.456349719146653,56.229315329572174,2.508343286142304,1.3724030998988102,-10.044685258430787,,9.1171,-26.4025,10.0497,2.1,6.6402,9.0872,36.2453,-1.2145,4.8142,24.5104
0,20378525.0,104.61443615884347,-3558.487107301086,59.3081184550181,2874.8888483864903,47.91481413977483,0.5445132808028037,4.689235089794685,2.553350783199733,56.15511140422184,2.517095427137633,1.370591889124447,-7.862124254484292,,9.3586,-18.0393,4.0535,1.1895,6.8613,9.5139,33.9881,-1.4436,6.3219,66.7886
0,19598955.0,109.00022274771986,-3439.872684930844,57.33121141551406,3263.211879086969,54.38686465144948,0.5482439086372256,4.8525772738551565,2.660395931582524,57.41395189304686,2.5560098056243694,1.4013168063505796,-6.52108928359214,,11.2087,-24.8763,3.9829,0.9589,6.622,1.8625,39.0377,13.3021,-10.4556,33.4637
0,19704958.0,108.65939664102594,-3520.99749866834,58.68329164447233,3161.127601623584,52.68546002705973,0.5478581282021582,4.840810184905827,2.6520772068844494,57.10828367728942,2.544191941179397,1.39385623468156,-7.020813323820746,,11.8207,-25.3624,0.3807,0.7266,6.8805,7.235,38.1781,-1.3205,6.158,10.5877
0,19471041.0,100.78319743861094,-3499.361045837194,58.32268409728657,2698.4088121812424,44.97348020302071,0.5413901796374511,4.543563986207452,2.459840922687105,54.57557337629527,2.460406258396389,1.33203978621433,-8.21907160045083,,6.6335,-15.4473,-2.7409,1.0996,6.7187,9.0885,42.29,12.6879,-8.863,18.8786
0,19278025.0,109.30380818789666,-3442.74269923612,57.37904498726866,3279.011174133657,54.65018623556095,0.5454236706187188,4.891253648815751,2.6678055190642884,57.2050829188505,2.559879433264048,1.3962188368322428,-6.506495323610601,,10.2879,-22.3909,6.6975,0.7249,6.8176,10.4589,44.1673,-1.4721,3.7608,21.5439
0,18852788.0,111.03638534932062,-3553.97573065214,59.232928844202334,3274.3248169716007,54.57208028286001,0.5429624074463248,4.991308911941706,2.710093103136165,57.56717611136339,2.587760383733744,1.405056607846299,-6.833700622648227,,8.7636,-14.9401,1.2033,0.898,6.9841,8.4834,32.7186,0.7143,6.4956,-2.0572
0,19341356.0,105.03744225274184,-3651.597686900663,60.85996144834439,2807.7914781824343,46.79652463637391,0.5460436998945766,4.6950002156881006,2.563675288780165,56.57735128197341,2.52891417360263,1.3808976520698155,-8.279475755607185,,10.7833,-13.3485,3.7959,0.7841,6.877,3.538,35.0512,-0.4081,5.1473,15.3972
