,Element Count,Downforce,Front Axle Moment,Rear Axle Downforce,Rear Axle Moment,Front Axle Downforce,Frontal Area,Cl,ClA,Drag,Cd,CdA,Center of Pressure,Sidepod DF,Rear Wing DF,Front Wing DF,Aero Efficiency,FA-RA Difference,Unnamed: 18,RW 3rd Element AOA,RW 3rd Element X,RW 3rd Element Z,RW 2nd Element AOA,RW 2nd Element X,RW 2nd Element Z,RW 1st Element AOA,RW 1st Element X,RW 1st Element Z,RW Biplane1 Element AOA,RW Biplane1 Element X,RW Biplane1 Element Z,RW Biplane2 Element AOA,RW Biplane2 Element X,RW Biplane2 Element Z,FW 3rd Element AOA,FW 3rd Element X,FW 3rd Element Z,FW 1st Element AOA,FW 1st Element Z,FW 2nd Element AOA,FW 2nd Element X,FW 2nd Element Z,Bullhorn AOA,Bullhorn X,Bullhorn Z Angle,FW Biplane Element AOA,FW Biplane Element Z,Diffuser_Angle1,Expansion_Point1,Gurney_Height1,Intake_Length1,Outlet_Length1,Sidepod_Width1,Strake_Offset1,Generation
0,18024481.0,117.67722005912756,-3268.50648121348,53.14984931208699,3968.179256030721,64.52737074673924,0.5268671954713916,5.451426048756465,2.8721775536280085,56.210196496815485,2.603951123543657,1.3719364256060258,0.0,9.134665609817418,58.1481119719968,48.08775603723499,2.0935208804294856,11.377521434652245,,-6.3153,95.5166,-15.7291,15.5277,108.2889,15.5746,12.051,106.1732,-28.3903,10.6257,-105.1475,-37.5266,-0.5376,-146.9346,15.116,12.656,8.9739,8.356,-4.3297,-10.2722,2.0659,-4.709,-3.2606,9.7681,9.6873,-15.549,-3.4413,13.3912,5.4594,0.5898,0.1672,0.0697,0.623,0.523,0.1818,1
0,21881180.0,134.98439244501188,-2944.3680576690394,47.87896841689344,5356.640642796289,87.10542402777274,0.5046508291071289,6.528470694749339,3.294598148906848,54.40442995632881,2.631250326063609,1.3278626586364035,0.0,13.645340155567846,54.43605944731443,62.24279889237085,2.4811286976697624,39.226455610879306,,0.8357,129.8859,-40.2039,-6.4226,144.6602,-32.0314,2.1088,47.1171,-23.6474,9.3991,-47.6206,-13.9019,-3.0967,-31.7355,-8.2183,7.6332,8.8823,15.0408,-4.5769,-10.3293,-5.3673,-8.5355,0.2243,8.6513,46.5156,-18.3698,9.6421,12.3169,11.321,0.5284,0.1018,0.1036,0.6115,0.6677,0.1797,1
0,16671570.0,135.39933535483303,-3335.9177971258823,54.24603844411634,4990.608258659061,81.15329691036992,0.5358007005716147,6.167826084901373,3.304725537294035,60.07281801358482,2.7364882771892862,1.4662123360240304,0.0,12.306812628580024,58.62423905697057,59.22723317249775,2.253920156104779,26.907258466253587,,11.3434,145.2133,-36.923,4.2635,88.2458,-18.9713,8.2253,142.7277,10.8059,8.1646,-109.6451,-31.9242,3.5041,-125.0067,0.0999,12.0016,1.3214,12.1994,-3.4641,-10.2361,-5.2535,0.105,-8.5717,-8.8823,21.0559,-6.8643,0.1149,10.8667,15.6533,0.5788,0.1911,0.092,0.6019,0.5347,0.2032,1
0,22458132.0,120.75290819296808,-1878.0658139759569,30.53961054834589,5547.7626344845,90.21329764431304,0.5228715789903815,5.636655003683566,2.947246702000061,51.1845789933693,2.3892576800996075,1.2492749358085775,0.0,11.665362547864705,38.170145409832514,63.4826702376004,2.3591657989139856,59.67368709596716,,4.1772,44.1399,10.7863,21.5666,68.5868,15.8829,7.5689,104.56,16.036,11.2891,-83.9384,-47.53,-4.4849,-114.7327,-37.7574,13.6423,-11.258,10.1473,-4.5207,-10.3097,-1.7803,-2.3524,-6.8102,7.0448,33.3599,8.3425,12.238,8.3169,8.7319,0.4877,0.2311,0.1059,0.6177,0.5932,0.1929,1
0,12101260.0,219.4876976429541,-7449.631130023949,121.1399684434477,6047.99814975722,98.34772919894417,0.5274027472932966,10.157496593240069,5.357091608897112,306.7534433643272,14.195998634084887,7.487008680188256,0.0,18.746178068410373,60.61111961575101,53.07126671562861,0.7155182847687591,-22.792239244503545,,-3.9863,82.8965,-17.9921,-2.2942,113.4625,5.5874,12.1904,7.3211,-42.7517,8.2507,46.4638,-11.454,-1.4236,-18.1761,7.2871,5.177,5.3913,16.1894,-3.5821,-10.2134,1.83,3.5644,-14.5928,3.8489,56.106,-1.6212,-1.66,14.9302,12.243,0.5657,0.0741,0.075,0.6489,0.5754,0.2137,1
0,20021581.0,104.098903540337,-1738.7112134685926,28.27353701889624,4662.961515837906,75.82536652117419,0.5231140935328963,4.85700551310633,2.540768036272897,47.30764281631808,2.2072613078185563,1.1546494982297393,0.0,8.281886248127647,34.06847028940793,56.081463076025074,2.200466929720489,47.551829502277954,,-5.535,20.3026,-47.9369,22.939,0.5556,-47.0421,8.353,-5.2546,-24.8877,10.0407,-121.308,-20.9843,3.7531,-269.3778,1.1679,6.6913,13.9944,9.1139,-3.2817,-10.3224,-6.2545,1.2742,-12.4247,2.5424,51.2862,-9.5338,12.952,6.8033,6.0169,0.5623,0.1539,0.1005,0.6134,0.591,0.207,1
0,19740403.0,136.2212209714315,-3756.908039775842,61.091846487427,4620.160745658016,75.12937448365562,0.4990752944404876,6.66189168190223,3.32478555267599,59.8053229002386,2.924776186275212,1.459683536337828,0.0,10.14390856386354,64.33024239934511,57.22006450354794,2.2777440930912194,14.03752799622862,,11.1342,131.4861,18.2929,-2.2974,92.5064,-4.0357,2.3457,130.0635,-49.8554,13.7491,-99.8095,9.4197,-3.5396,-46.6067,-11.0574,13.5831,0.8854,11.4361,-3.9337,-10.2798,1.798,0.5753,-7.4336,-8.7204,58.7565,2.5916,11.0047,3.8088,5.847,0.5278,0.2457,0.0746,0.5586,0.6442,0.2125,1
0,20656235.0,133.56891553635555,-3274.397320441818,53.24564144806944,4939.565122887901,80.32327408794421,0.5306216510108906,6.143831767742245,3.260050156132549,56.844274138523325,2.614692616647396,1.387412513131427,0.0,13.956083283468534,56.381439177520654,57.274502359840255,2.3497338572898765,27.07763263987477,,-5.0504,9.305,2.2207,7.1256,28.8771,-21.0943,16.6228,108.3638,10.1314,5.228,-196.2301,-11.0842,-0.7981,-241.3951,-21.0571,4.6298,-12.7423,12.5231,-3.0938,-10.3733,-5.8255,4.2251,-5.0527,2.3899,34.6406,-7.3296,-2.6164,3.8757,11.0423,0.4881,0.1868,0.12,0.63,0.5931,0.1635,1
0,19899864.0,133.11151877554224,-3306.64554388722,53.770036374791225,4879.188799428097,79.3414824004102,0.5559999839826198,5.843321117416334,3.248886447688786,59.159765806338726,2.5969916955158387,1.443927341109803,0.0,11.226209285427029,56.38404928459976,57.99468570027221,2.250034579435064,25.571446025618982,,5.238,90.1559,-15.8406,3.4833,-12.8914,3.1908,24.2013,119.3526,2.4241,13.9912,-11.5191,-28.6966,-8.8741,-152.5479,-3.5194,10.1194,0.0502,12.3318,-3.8458,-10.4409,-1.7114,-0.8551,-15.9801,-8.6373,14.106,-9.6419,11.8804,0.3354,11.0962,0.4917,0.1016,0.0844,0.5023,0.5974,0.2089,1
0,23772541.0,98.05400878062288,-1321.6026112793825,21.490849121364185,4708.332889115814,76.56315965900758,0.4813071978164632,4.972352011802164,2.393228813357553,45.15128581391418,2.2896370035677447,1.102018770204075,0.0,6.928515965285469,26.385868485699103,58.9484427145324,2.1716769968576566,55.07231053764339,,10.7039,18.0749,18.5415,2.1551,50.7963,-17.8718,10.5239,31.3958,19.4113,9.3031,-32.1502,8.6388,-4.4897,-252.5167,3.1601,10.3284,0.0668,16.3461,-4.1081,-10.586,1.3776,0.2982,-7.4227,-1.3605,-16.7091,-8.0459,13.9638,9.8389,11.4677,0.4758,0.1808,0.0852,0.5783,0.6584,0.202,1
