,Element Count,Downforce,Front Axle Moment,Rear Axle Downforce,Rear Axle Moment,Front Axle Downforce,Frontal Area,Cl,ClA,Drag,Cd,CdA,Center of Pressure,Sidepod DF,Rear Wing DF,Front Wing DF,Unnamed: 16,RW 3rd Element AOA,RW 3rd Element X,RW 3rd Element Z,RW 2nd Element AOA,RW 2nd Element X,RW 2nd Element Z,RW 1st Element AOA,RW 1st Element X,RW 1st Element Z,RW Biplane1 Element AOA,RW Biplane1 Element X,RW Biplane1 Element Z,RW Biplane2 Element AOA,RW Biplane2 Element X,RW Biplane2 Element Z,FW 3rd Element AOA,FW 3rd Element X,FW 3rd Element Z,FW 1st Element AOA,FW 1st Element Z,FW 2nd Element AOA,FW 2nd Element X,FW 2nd Element Z,Bullhorn AOA,Bullhorn X,Bullhorn Z Angle,FW Biplane Element AOA,FW Biplane Element Z,Diffuser_Angle1,Expansion_Point1,Gurney_Height1,Intake_Length1,Outlet_Length1,Sidepod_Width1,Strake_Offset1,Generation
0,21734164.0,146.5520245747217,-3522.7238930924204,57.283730401672,5489.648641466703,89.26829417267457,0.5513716496103298,6.487334366552972,3.576932251260096,62.7662858946465,2.778439156516869,1.5319525810706394,0.0,17.2137659430193,57.80050102099781,61.90273785800718,,13.5067,121.9061,-29.9851,2.6214,116.4015,-8.9553,24.2703,43.5692,-36.3853,4.5332,27.0937,-38.5502,4.3429,-8.4286,-24.1122,13.6161,-11.7358,10.5203,-3.745,-10.5593,-2.0941,-8.11,-12.8106,-1.8866,42.3253,8.1435,14.7084,13.7887,15.9873,0.4827,0.2156,0.132,0.6222,0.579,0.2243,1
0,18606356.0,127.6008873502708,-3573.2492274920774,58.105333150578765,4273.70297858007,69.49555419936527,0.5165776395992435,6.028884359494209,3.114386851844316,55.09186342314941,2.602979341479569,1.3446409241471091,0.0,12.906269207918868,57.98429769035471,50.80689825456314,,-8.5784,4.0315,-36.1401,-7.3075,12.8013,-13.4928,12.7934,19.8278,-38.1897,7.7524,-96.3936,-30.7929,-7.9546,-111.7909,-26.1635,12.6428,-1.2383,8.8996,-4.6848,-10.3864,0.7001,-8.8228,-10.0582,-5.4907,69.5523,-12.0325,13.1591,1.8347,15.9099,0.4218,0.202,0.0744,0.5609,0.5221,0.206,1
0,18698821.0,132.72261403995685,-3181.634447447949,51.7372054851247,4980.283785750698,80.98540855449232,0.5252824469980693,6.166956889186359,3.2393942052834115,58.98226665927339,2.7406112993278344,1.439595009581483,0.0,13.345316294204755,51.10397088360092,58.85378837927311,,-2.6265,76.5687,-12.4232,-6.7028,43.6958,-7.3202,25.9291,108.6364,-18.9686,5.4499,-73.5427,4.1818,6.0847,-243.6217,-31.6267,6.118,3.5318,8.1612,-4.0255,-10.4101,-4.0202,-2.574,-15.2584,-0.3138,-11.6947,-1.0442,4.334,9.2008,6.8306,0.5955,0.239,0.1453,0.6673,0.6415,0.1755,1
0,20599339.0,132.0512826393319,-3011.688342945273,48.9736772812155,5108.945652153368,83.07760535777813,0.5212937811016518,6.182711236511452,3.2230089179407235,54.4080382366523,2.5474132673217995,1.3279506941506938,0.0,13.375889671671176,54.9409135940252,57.952822480367736,,12.9225,68.5609,-49.5296,9.4441,118.3381,-0.2815,8.3008,71.5566,13.5907,9.5214,-83.3007,-9.3209,5.6235,-266.2744,-17.0947,8.1584,9.6172,11.9332,-4.7276,-10.3944,-5.8149,-1.4382,-15.7643,-9.6538,50.2134,6.5792,5.3026,14.3097,15.6555,0.4121,0.0894,0.0623,0.6161,0.5369,0.1699,1
0,17263895.0,134.05676092659402,-5113.346323622885,83.14916557245759,3130.6166905542896,50.90759535379279,0.5170058456741065,6.32866581939207,3.271957223943609,60.71923145192634,2.866485226209361,1.481989618488703,0.0,22.256730029229885,69.87428696377309,39.34934643975366,,7.0001,104.6902,23.4176,7.7846,25.0852,-15.9216,11.0239,0.327,-32.0519,6.0037,-32.5317,-16.979,-8.0039,9.2013,-24.211,5.0911,-14.1551,14.062,-4.0432,-10.4783,-4.043,2.7552,-7.0654,6.8669,63.3748,-14.3511,11.9823,9.0125,15.9713,0.5567,0.2189,0.0945,0.6354,0.5782,0.1759,1
0,22200467.0,126.48004934582625,-3833.253221438177,62.33331102922303,3944.771860111073,64.14673831627951,0.547809706751205,5.635224044196484,3.0870304311286154,60.95195690503432,2.715668873222272,1.487669769073268,0.0,8.162657438437328,59.090686472944064,51.72693796685285,,11.6821,64.9991,-1.7716,6.1264,-3.6491,-37.4566,21.3319,58.3279,-31.6133,8.5219,-243.6823,19.1365,5.7692,-210.7855,2.9413,6.4754,6.1657,8.8577,-3.6031,-10.5798,-0.8955,8.2397,-11.2301,-6.0784,-23.6656,-4.0299,-3.6653,13.542,5.1259,0.5759,0.0702,0.0855,0.5683,0.6763,0.2269,1
0,13237844.0,140.2154588008489,-3668.764170257802,59.65852108036562,4953.934516330948,80.55693772012415,0.5515251727480553,6.205109193693549,3.422273919972381,264.8588345384681,11.721089837603966,6.464476097480003,0.0,19.71934899854954,32.643838332979726,56.02182200224241,,-8.6349,68.7017,-18.5403,21.3377,35.5823,-16.9349,29.3529,115.8099,-31.3529,8.8573,-133.9713,7.6884,-0.5311,20.45,-36.2965,11.9611,12.3468,8.6528,-3.8292,-10.4912,-7.811,1.9007,-2.9724,-2.8437,-11.2911,-19.9579,11.7778,11.1944,10.4346,0.449,0.1519,0.139,0.6931,0.6112,0.1948,1
0,15043725.0,145.977907741612,-4252.970411998302,69.15841771332573,4724.096197628297,76.81949002791275,0.5425131426219226,6.567434254396062,3.5629193963152708,239.03444812248,10.7539767274849,5.834173710110853,0.0,18.758723056686435,52.40809960492716,56.47877486998628,,-8.804,148.7475,-48.5332,11.3712,-4.7359,-13.0894,17.0757,72.4043,-43.9586,3.2204,-248.5591,-3.4157,-6.3718,-264.0921,-30.4592,6.0635,-1.141,12.676,-4.2351,-10.4787,-7.2478,-2.8474,-11.3765,-11.8633,-21.2259,-19.8661,3.8766,10.6301,17.5483,0.4283,0.1463,0.1103,0.5976,0.6545,0.2194,1
0,22266827.0,141.78210661231853,-3508.215049653234,57.047799144714816,5210.826309432814,84.73430746724085,0.5267446147497631,6.569619208339972,3.460511538949682,55.89607098455832,2.590001731424295,1.3642694642203097,0.0,13.869848195264217,59.042200322565385,60.35602210089504,,-0.3244,133.4469,9.7431,-1.4655,83.8944,-42.5531,15.7946,-6.3294,-35.0825,13.8901,-230.7029,1.4052,3.2856,-136.3642,-19.238,12.2268,-5.9081,16.1562,-3.7195,-10.2698,2.0025,6.8478,-4.8463,7.8161,37.9859,-15.8724,-2.9341,5.4193,13.2301,0.4441,0.074,0.1372,0.5255,0.6766,0.2188,1
0,23691723.0,141.33613104872248,-3105.204068872259,50.49435553897574,5586.411548862871,90.8417755093848,0.5052748874602282,6.827227234530474,3.44962647259279,54.40236362287666,2.6279005643708726,1.3278121619191627,0.0,14.413951591440332,56.41125872893231,63.62061008799815,,-5.7817,88.7507,-29.1851,-0.5848,21.5698,-20.1105,9.0245,13.6275,4.076,12.2499,-216.0717,-18.7008,6.3863,2.2018,-47.6597,9.4916,-9.6877,10.6881,-3.7096,-10.4211,-3.155,7.0361,-14.428,-13.5656,38.6501,-6.5485,13.5798,8.4177,13.0094,0.4373,0.2041,0.0798,0.5978,0.6079,0.1917,1
